DTE,BARRIS,TOTAL,CAPDONA,UNADONA,DUESDONES,TRESDONES,CUATREDONESOMES
,,657567,95643,361034,141686,44270,14934
1,1. el Raval,17000,4237,7491,3118,1292,862
1,2. el Barri Gòtic,6638,1758,3166,1166,368,180
1,3. la Barceloneta,6881,1512,3741,1201,327,100
1,"4. Sant Pere, Santa Caterina i la Ribera",10021,2353,5144,1773,549,202
2,5. el Fort Pienc,12978,1887,7086,2875,861,269
2,6. la Sagrada Família,22019,3146,12378,4696,1370,429
2,7. la Dreta de l Eixample,18518,3176,9740,3890,1236,476
2,8. l Antiga Esquerra de l Eixample,18282,3155,9833,3728,1185,381
2,9. la Nova Esquerra de l Eixample,24561,3677,13574,5224,1587,499
2,10. Sant Antoni,16459,2708,9114,3252,1008,377
3,11. el Poble Sec - Parc Montjuïc,16092,2841,8386,3258,1104,503
3,12. la Marina del Prat Vermell - Zona Franca,447,89,233,76,35,14
3,13. la Marina de Port,11784,1591,6284,2741,891,277
3,14. la Font de la Guatlla,4335,676,2383,921,261,94
3,15. Hostafrancs,6579,1056,3575,1381,425,142
3,16. la Bordeta,7505,972,4235,1683,472,143
3,17. Sants - Badal,10012,1379,5619,2146,644,224
3,18. Sants,17307,2579,9761,3624,1015,328
4,19. les Corts,19039,2496,10588,4362,1251,342
4,20. la Maternitat i Sant Ramon,9609,1184,5337,2210,681,197
4,21. Pedralbes,4224,463,2203,1022,366,170
5,"22. Vallvidrera, el Tibidabo i les Planes",1568,216,722,395,160,75
5,23. Sarrià,8879,1166,4346,2146,868,353
5,24. les Tres Torres,5570,603,2707,1361,639,260
5,25. Sant Gervasi - la Bonanova,9336,1197,4632,2241,901,365
5,26. Sant Gervasi - Galvany,18498,2377,9735,4144,1655,587
5,27. el Putxet i el Farró,12148,1707,6597,2664,900,280
6,28. Vallcarca i els Penitents,6452,923,3526,1461,419,123
6,29. el Coll,3045,419,1697,683,199,47
6,30. la Salut,5435,688,3084,1195,372,96
6,31. la Vila de Gràcia,22939,3843,13038,4397,1285,376
6,32. el Camp d en Grassot i Gràcia Nova,14795,1991,8523,3169,890,222
7,33. el Baix Guinardó,10854,1472,6250,2309,638,185
7,34. Can Baró,3757,538,2136,772,237,74
7,35. el Guinardó,15109,2052,8625,3226,919,287
7,36. la Font d en Fargues,3692,434,2024,911,262,61
7,37. el Carmel,12793,1602,7318,2774,871,228
7,38. la Teixonera,4729,637,2744,1020,254,74
7,39. Sant Genís dels Agudells,2859,400,1647,573,178,61
7,40. Montbau,2109,279,1228,446,117,39
7,41. la Vall d Hebron,2187,256,1281,473,147,30
7,42. la Clota,226,35,136,42,9,4
7,43. Horta,10722,1308,6242,2310,672,190
8,44. Vilapicina i la Torre Llobeta,10442,1175,5994,2394,683,196
8,45. Porta,10175,1300,6028,2039,589,219
8,46. el Turó de la Peira,6189,767,3505,1249,433,235
8,47. Can Peguera,933,151,491,205,67,19
8,48. la Guineueta,6178,643,3684,1374,380,97
8,49. Canyelles,2810,283,1654,661,178,34
8,50. les Roquetes,5869,789,3096,1322,449,213
8,51. Verdun,5056,671,2881,1033,317,154
8,52. la Prosperitat,10720,1323,6265,2250,664,218
8,53. la Trinitat Nova,2925,443,1520,658,219,85
8,54. Torre Baró,894,136,397,212,101,48
8,55. Ciutat Meridiana,3588,418,1912,782,298,178
8,56. Vallbona,473,93,215,105,43,17
9,57. la Trinitat Vella,3506,535,1763,736,304,168
9,58. Baró de Viver,963,162,469,222,77,33
9,59. el Bon Pastor,4656,640,2433,1094,357,132
9,60. Sant Andreu,23359,2836,13418,5358,1443,304
9,61. la Sagrera,11690,1330,6758,2554,795,253
9,62. el Congrés i els Indians,5919,748,3360,1300,388,123
9,63. Navas,8957,1016,5175,2012,564,190
10,64. el Camp de l Arpa del Clot,16289,2331,9273,3449,972,264
10,65. el Clot,10803,1460,5877,2513,762,191
10,66. el Parc i la Llacuna del Poblenou,6087,1000,3314,1266,397,110
10,67. la Vila Olímpica del Poblenou,3548,565,1640,963,323,57
10,68. el Poblenou,13551,2088,7263,3044,927,229
10,69. Diagonal Mar i el Front Marítim del Poblenou,5438,913,2828,1225,374,98
10,70. el Besòs i el Maresme,8403,1177,4469,1855,631,271
10,71. Provençals del Poblenou,8054,1111,4371,1857,569,146
10,72. Sant Martí de Provençals,10623,1225,6158,2369,681,190
10,73. la Verneda i la Pau,11476,1236,6713,2526,765,236
,No consta,1,0,1,0,0,0
