DTE,BARRIS,TOTAL,CAPDONA,UNADONA,DUESDONES,TRESDONES,CUATREDONESOMES
1,1. el Raval,17384,4300,7745,3105,1337,897
1,2. el Barri Gòtic,6830,1854,3231,1209,362,174
1,3. la Barceloneta,7031,1528,3863,1217,329,94
1,"4. Sant Pere, Santa Caterina i la Ribera",10082,2348,5228,1727,560,219
2,5. el Fort Pienc,13041,1906,7139,2846,856,294
2,6. la Sagrada Família,22239,3176,12610,4687,1366,400
2,7. la Dreta de l Eixample,18483,3164,9753,3847,1245,474
2,8. l Antiga Esquerra de l Eixample,18249,3109,9880,3702,1189,369
2,9. la Nova Esquerra de l Eixample,24663,3680,13655,5282,1556,490
2,10. Sant Antoni,16559,2732,9214,3255,999,359
3,11. el Poble Sec - Parc Montjuïc,16210,2810,8553,3207,1108,532
3,12. la Marina del Prat Vermell - Zona Franca,427,77,229,71,34,16
3,13. la Marina de Port,11706,1566,6252,2738,877,273
3,14. la Font de la Guatlla,4323,680,2377,920,252,94
3,15. Hostafrancs,6620,1077,3627,1379,396,141
3,16. la Bordeta,7503,960,4263,1692,441,147
3,17. Sants - Badal,10047,1387,5670,2106,656,228
3,18. Sants,17365,2621,9784,3601,1023,336
4,19. les Corts,19019,2513,10604,4306,1245,351
4,20. la Maternitat i Sant Ramon,9632,1178,5359,2266,657,172
4,21. Pedralbes,4255,462,2221,1015,394,163
5,"22. Vallvidrera, el Tibidabo i les Planes",1547,210,717,396,151,73
5,23. Sarrià,8888,1154,4387,2128,860,359
5,24. les Tres Torres,5559,610,2702,1360,630,257
5,25. Sant Gervasi - la Bonanova,9320,1185,4643,2248,872,372
5,26. Sant Gervasi - Galvany,18553,2403,9742,4228,1624,556
5,27. el Putxet i el Farró,12116,1697,6621,2627,911,260
6,28. Vallcarca i els Penitents,6488,921,3575,1436,432,124
6,29. el Coll,3021,434,1669,682,195,41
6,30. la Salut,5433,708,3070,1203,345,107
6,31. la Vila de Gràcia,23082,3925,13208,4333,1247,369
6,32. el Camp d en Grassot i Gràcia Nova,14919,2010,8629,3162,897,221
7,33. el Baix Guinardó,10860,1469,6251,2327,623,190
7,34. Can Baró,3762,520,2123,822,236,61
7,35. el Guinardó,15114,2083,8586,3178,974,293
7,36. la Font d en Fargues,3706,434,2061,894,251,66
7,37. el Carmel,12799,1595,7347,2757,864,236
7,38. la Teixonera,4753,632,2735,1032,273,81
7,39. Sant Genís dels Agudells,2873,401,1669,575,170,58
7,40. Montbau,2128,282,1242,447,112,45
7,41. la Vall d Hebron,2209,252,1279,478,167,33
7,42. la Clota,206,37,117,37,7,8
7,43. Horta,10746,1291,6293,2311,673,178
8,44. Vilapicina i la Torre Llobeta,10446,1130,6072,2375,662,207
8,45. Porta,10144,1303,5990,2054,592,205
8,46. el Turó de la Peira,6107,752,3476,1211,436,232
8,47. Can Peguera,938,146,505,209,62,16
8,48. la Guineueta,6196,637,3685,1389,376,109
8,49. Canyelles,2801,267,1640,670,181,43
8,50. les Roquetes,5919,784,3124,1341,472,198
8,51. Verdun,5067,664,2936,1012,318,137
8,52. la Prosperitat,10752,1316,6332,2177,695,232
8,53. la Trinitat Nova,2958,446,1559,651,219,83
8,54. Torre Baró,727,100,330,175,91,31
8,55. Ciutat Meridiana,3581,416,1877,787,309,192
8,56. Vallbona,479,92,229,105,40,13
9,57. la Trinitat Vella,3530,518,1776,736,327,173
9,58. Baró de Viver,945,164,446,228,77,30
9,59. el Bon Pastor,4667,647,2443,1092,347,138
9,60. Sant Andreu,23280,2865,13401,5312,1393,309
9,61. la Sagrera,11681,1329,6777,2583,743,249
9,62. el Congrés i els Indians,5930,750,3407,1280,386,107
9,63. Navas,8935,1009,5198,1968,576,184
10,64. el Camp de l Arpa del Clot,16327,2294,9431,3409,920,273
10,65. el Clot,10817,1453,5915,2500,749,200
10,66. el Parc i la Llacuna del Poblenou,5992,970,3274,1248,379,121
10,67. la Vila Olímpica del Poblenou,3533,555,1649,950,318,61
10,68. el Poblenou,13462,2068,7261,3017,898,218
10,69. Diagonal Mar i el Front Marítim del Poblenou,5402,931,2835,1194,354,88
10,70. el Besòs i el Maresme,8407,1178,4497,1849,614,269
10,71. Provençals del Poblenou,8067,1127,4381,1867,543,149
10,72. Sant Martí de Provençals,10649,1206,6247,2320,689,187
10,73. la Verneda i la Pau,11510,1208,6753,2566,751,232
