Dte.,Barris,TOTAL,"Cap
dona",1 dona,2 dones,3 dones,"4 dones
o m�s"
1,1. el Raval,16776,4221,7334,3122,1268,831
1,2. el Barri G�tic,6461,1704,3105,1110,364,178
1,3. la Barceloneta,6820,1496,3745,1163,317,99
1,"4. Sant Pere, Santa Caterina i la Ribera",9869,2331,5076,1688,554,220
2,5. el Fort Pienc,12880,1921,6935,2877,865,282
2,6. la Sagrada Fam�lia,21850,3048,12325,4679,1405,393
2,7. la Dreta de l'Eixample,18308,3125,9661,3865,1206,451
2,8. l'Antiga Esquerra de l'Eixample,18081,3159,9663,3719,1152,388
2,9. la Nova Esquerra de l'Eixample,24554,3747,13535,5212,1543,517
2,10. Sant Antoni,16402,2788,8992,3209,1046,367
3,11. el Poble Sec - Parc Montju�c,15969,2817,8389,3188,1085,490
3,12. la Marina del Prat Vermell - Zona Franca,442,88,221,84,36,13
3,13. la Marina de Port,11772,1543,6321,2717,905,286
3,14. la Font de la Guatlla,4280,668,2334,910,275,93
3,15. Hostafrancs,6554,1032,3581,1393,408,140
3,16. la Bordeta,7518,973,4287,1643,467,148
3,17. Sants - Badal,9933,1357,5613,2096,617,250
3,18. Sants,17203,2537,9728,3547,1055,336
4,19. les Corts,19004,2457,10644,4303,1251,349
4,20. la Maternitat i Sant Ramon,9659,1192,5332,2264,681,190
4,21. Pedralbes,4225,456,2154,1063,383,169
5,"22. Vallvidrera, el Tibidabo i les Planes",1565,201,738,404,157,65
5,23. Sarri�,8843,1154,4329,2158,859,343
5,24. les Tres Torres,5580,587,2720,1365,638,270
5,25. Sant Gervasi - la Bonanova,9352,1185,4639,2268,898,362
5,26. Sant Gervasi - Galvany,18516,2342,9684,4233,1656,601
5,27. el Putxet i el Farr�,12109,1693,6533,2704,891,288
6,28. Vallcarca i els Penitents,6461,928,3554,1443,418,118
6,29. el Coll,3069,424,1711,695,185,54
6,30. la Salut,5397,689,3068,1177,374,89
6,31. la Vila de Gr�cia,22827,3815,12993,4385,1259,375
6,32. el Camp d'en Grassot i Gr�cia Nova,14780,2019,8501,3138,902,220
7,33. el Baix Guinard�,10775,1445,6175,2349,622,184
7,34. Can Bar�,3776,573,2107,779,248,69
7,35. el Guinard�,15229,2087,8670,3231,969,272
7,36. la Font d'en Fargues,3697,431,2045,888,275,58
7,37. el Carmel,12705,1564,7261,2801,845,234
7,38. la Teixonera,4687,632,2704,1027,256,68
7,39. Sant Gen�s dels Agudells,2795,383,1606,587,167,52
7,40. Montbau,2106,309,1211,421,129,36
7,41. la Vall d'Hebron,2277,252,1353,479,169,24
7,42. la Clota,249,49,145,40,11,4
7,43. Horta,10661,1254,6221,2310,669,207
8,44. Vilapicina i la Torre Llobeta,10491,1196,6026,2388,685,196
8,45. Porta,10143,1281,5950,2092,593,227
8,46. el Tur� de la Peira,6153,779,3452,1243,457,222
8,47. Can Peguera,926,142,507,193,62,22
8,48. la Guineueta,6164,646,3649,1400,371,98
8,49. Canyelles,2803,292,1665,631,179,36
8,50. les Roquetes,5836,793,3065,1300,464,214
8,51. Verdun,5037,657,2889,1017,322,152
8,52. la Prosperitat,10726,1321,6269,2273,659,204
8,53. la Trinitat Nova,2879,454,1476,636,230,83
8,54. Torre Bar�,935,132,419,233,108,43
8,55. Ciutat Meridiana,3543,433,1875,767,296,172
8,56. Vallbona,478,92,216,119,38,13
9,57. la Trinitat Vella,3471,514,1738,749,322,148
9,58. Bar� de Viver,953,173,441,228,86,25
9,59. el Bon Pastor,4618,629,2397,1107,358,127
9,60. Sant Andreu,23363,2803,13404,5386,1461,309
9,61. la Sagrera,11730,1326,6770,2610,770,254
9,62. el Congr�s i els Indians,5916,757,3331,1306,406,116
9,63. Navas,8960,995,5167,2024,584,190
10,64. el Camp de l'Arpa del Clot,16234,2305,9238,3439,980,272
10,65. el Clot,10778,1448,5854,2502,771,203
10,66. el Parc i la Llacuna del Poblenou,6033,968,3275,1298,379,113
10,67. la Vila Ol�mpica del Poblenou,3501,537,1660,924,332,48
10,68. el Poblenou,13567,2087,7259,3046,944,231
10,69. Diagonal Mar i el Front Mar�tim del Poblenou,5412,893,2818,1229,385,87
10,70. el Bes�s i el Maresme,8418,1207,4424,1879,642,266
10,71. Proven�als del Poblenou,8093,1112,4424,1842,584,131
10,72. Sant Mart� de Proven�als,10589,1180,6168,2373,673,195
10,73. la Verneda i la Pau,11409,1239,6638,2508,790,234
,No consta,0,0,0,0,0,0
